Study,Parent_Pair,Cohort,Access_ID,Sex,Diet,Diet_Start_Week,Litter_Size,Total_AUC,HarvWeight,RetroFat_norm,FastGluc,FastIns,SWIM,CLIMB,FLOAT,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,z
Thesis,338,1T,734525,F,HFD,SIX,8,9.521018496722224,5.480638923341991,0.6080358613167814,4.3694478524670215,NA,2809,1.791759469228055,1.4142135623730951,1.791759469228055,1.9459101490553132,36,1
Thesis,343,1T,734575,F,HFD,SIX,9,9.51384657977485,5.43372200355424,1.013194537545605,4.48863636973214,NA,1521,0,4.58257569495584,1.9459101490553132,2.0794415416798357,25,1
Thesis,343,1T,734576,F,HFD,SIX,9,9.164139353075468,5.6240175061873385,1.4992347723975734,4.330733340286331,NA,529,1.3862943611198906,5.830951894845301,2.1972245773362196,2.302585092994046,26,1
Thesis,448,1T,734634,F,HFD,SIX,12,9.540075680658964,5.713732805509369,1.4914893000956546,4.343805421853684,NA,1089,0.6931471805599453,5.0990195135927845,2.6390573296152584,2.70805020110221,26,1
Thesis,338,1T,734526,F,HFD,SIX,8,9.45100945015621,5.3981627015177525,0.6466271648774334,4.394449154672439,NA,2601,2.1972245773362196,1,2.6390573296152584,2.70805020110221,33,1
Thesis,405,1T,734585,F,HFD,SIX,13,9.459814218536422,5.308267697401205,0.7857399675034165,4.30406509320417,NA,1600,2.1972245773362196,3.4641016151377544,1.9459101490553132,2.0794415416798357,35,1
Thesis,408,2T,734673,F,HFD,SIX,13,9.445096238618559,5.5134287461649825,0.8309709672285226,4.290459441148391,NA,1764,1.791759469228055,3.605551275463989,2.302585092994046,2.3978952727983707,25,1
Thesis,335,2T,734762,F,HFD,SIX,7,9.392745258631441,5.616771097666572,0.9577548559291053,4.465908118654584,NA,2601,0,3,2.4849066497880004,2.5649493574615367,21,1
Thesis,447,2T,734733,F,HFD,SIX,15,9.375727683729428,5.231108616854587,0.6768866594422633,4.219507705176107,NA,2209,1.3862943611198906,3.1622776601683795,1.9459101490553132,2.0794415416798357,28,1
Thesis,401,2T,734783,F,HFD,SIX,11,9.280425979542871,5.37989735354046,0.6554068526155599,4.31748811353631,0.4679743582719036,1024,2.4849066497880004,4.123105625617661,2.6390573296152584,2.70805020110221,20,1
