Study,Parent_Pair,Cohort,Access_ID,Sex,Diet,Diet_Start_Week,Litter_Size,Total_AUC,HarvWeight,RetroFat_norm,FastGluc,FastIns,SWIM,CLIMB,FLOAT,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,z
Ozzy,56,2O,713895,M,LFD,SIX,8,9.548668029096856,5.771441123130016,1.1967593498076343,0.01282051282051282,0.8387615293649172,NA,NA,NA,NA,NA,NA,-1
Ozzy,25,2O,719283,M,HFD,SIX,11,9.603294206147275,5.8944028342648505,1.5187028860956766,NA,1.599892499590569,NA,NA,NA,NA,NA,NA,1
Ozzy,39,2O,719382,M,HFD,SIX,12,9.79107444795714,6.3578422665081,1.649926518010437,0.01020408163265306,1.6118350370338217,NA,NA,NA,NA,NA,NA,1
Ozzy,41,2O,719442,M,LFD,SIX,6,9.530320210727126,5.998936561946683,1.3114206921259184,0.00909090909090909,0.787320350577195,NA,NA,NA,NA,NA,NA,-1
Ozzy,31,2O,719513,M,HFD,SIX,4,9.571923252267498,6.003887067106539,1.5285284927241745,0.009708737864077669,0.9458495341156995,NA,NA,NA,NA,NA,NA,1
Ozzy,54,2O,719543,M,HFD,SIX,10,9.843790625278,6.095824562432225,1.7123122701207563,0.00980392156862745,1.4631396548168016,NA,NA,NA,NA,NA,NA,1
Ozzy,40,3O,719673,M,LFD,SIX,10,9.660842578559068,5.961005339623274,1.7143332035717793,0.010101010101010102,1.3554484809487892,576,2.6390573296152584,3.1780538303479458,NA,NA,NA,-1
Ozzy,42,3O,719693,M,HFD,SIX,11,9.891592081123061,5.966146739123692,1.2316079767035482,0.006329113924050633,1.0351398657125361,196,3.8501476017100584,0,NA,NA,NA,1
Ozzy,50,3O,719713,M,HFD,SIX,7,9.740733301234702,5.8998973535824915,1.1149614265218915,0.007751937984496124,1.1373521169840404,441,1.791759469228055,3.5553480614894135,NA,NA,NA,1
Ozzy,36,3O,719813,M,LFD,SIX,8,9.6956020036109,6.021023349349527,1.5492693909505932,0.007751937984496124,1.287440409567199,169,2.302585092994046,3.6635616461296463,NA,NA,NA,-1
Ozzy,43,4O,719933,M,LFD,SIX,12,9.583351156530737,5.817111159963204,1.3055051062451586,NA,NA,1936,2.6390573296152584,1.3862943611198906,NA,NA,NA,-1
Ozzy,33,3O,719963,M,HFD,SIX,6,9.609351363677883,6.0014148779611505,1.2243591177148292,0.01,1.6182985408662969,2209,2.3978952727983707,1.3862943611198906,NA,NA,NA,1
Ozzy,23,3O,720073,M,HFD,SIX,7,9.820839370226174,6.302618975744905,1.809941788291726,0.0072992700729927005,2.0014124303597653,625,3.1354942159291497,2.6390573296152584,NA,NA,NA,1
Ozzy,52,4O,720153,M,HFD,SIX,9,9.8015101964236635,6.09807428216624,1.5903377409780364,NA,NA,1849,0.6931471805599453,2.833213344056216,NA,NA,NA,1
Ozzy,53,4O,720163,M,HFD,SIX,8,9.804412795594889,5.986452005284438,1.3844034056399634,NA,NA,1444,2.9444389791664403,1.6094379124341003,NA,NA,NA,1
Ozzy,51,4O,720175,M,HFD,SIX,12,9.798599147638699,6.077642243349034,1.6062143314754653,NA,NA,1600,2.0794415416798357,2.5649493574615367,NA,NA,NA,1
Ozzy,47,4O,720303,M,LFD,SIX,12,9.598727138549595,6.0014148779611505,1.2899911324557214,NA,NA,1444,2.772588722239781,2.0794415416798357,NA,NA,NA,-1
Ozzy,49,4O,720313,M,HFD,SIX,9,9.72157591171514,6.192362489474872,1.9107560972203086,NA,NA,25,2.6390573296152584,3.7612001156935624,NA,NA,NA,1
Ozzy,27,5O,720771,M,LFD,SIX,4,9.511629447834181,5.988961416889864,1.2541976890771216,0.009433962264150943,0.5370779949100564,1296,1.791759469228055,2.995732273553991,NA,NA,NA,-1
Ozzy,26,5O,720821,M,HFD,SIX,5,9.700207901150696,5.991464547107982,1.4153177010950615,0.008928571428571428,1.5612975371061655,576,1.791759469228055,3.4657359027997265,NA,NA,NA,1
Ozzy,30,5O,720891,M,LFD,SIX,11,9.540614870808442,5.746203190540153,1.1667500939790403,0.009433962264150943,0.9882392311867392,900,1.9459101490553132,3.2188758248682006,NA,NA,NA,-1
Ozzy,37,5O,720971,M,HFD,SIX,7,9.71571114505921,6.003887067106539,1.4046885033390486,0.008130081300813009,1.8124603857520882,100,3.5263605246161616,2.8903717578961645,NA,NA,NA,1
Ozzy,55,5O,721031,M,HFD,SIX,7,9.71208488700598,5.849324779946859,1.5511227605128968,0.008695652173913044,0.5624688569178291,900,2.772588722239781,2.772588722239781,NA,NA,NA,1
Ozzy,44,5O,721081,M,HFD,SIX,5,9.609854474590907,6.042632833682381,1.5445183663957602,0.009345794392523364,0.7212486106708201,1296,2.772588722239781,2.302585092994046,NA,NA,NA,1
Ozzy,34,6O,721231,M,LFD,SIX,7,9.518817226434667,5.793013608384144,1.5463254890289302,0.009345794392523364,0.7738050835773999,36,2.1972245773362196,3.8501476017100584,NA,NA,NA,-1
Ozzy,38,6O,721263,M,HFD,SIX,9,9.620361751165559,6.0867747269123065,1.39705628877688,0.008547008547008548,0.4690656895177591,1849,1.6094379124341003,2.6390573296152584,NA,NA,NA,1
Ozzy,57,6O,721293,M,LFD,SIX,11,9.793170328225258,6.102558594613569,1.4665095270754887,0.008064516129032258,0.810263327228625,1024,1.6094379124341003,3.2188758248682006,NA,NA,NA,-1
Ozzy,48,6O,721303,M,HFD,SIX,6,10.042749369869604,5.973809611869261,1.627638617141067,0.009174311926605505,0.6062267085292437,1681,2.4849066497880004,2.1972245773362196,NA,NA,NA,1
Ozzy,24,6O,721431,M,HFD,SIX,9,9.681187395464987,5.918893854273146,1.5373598090098661,0.008064516129032258,1.0000802576038381,784,1.0986122886681098,3.4339872044851463,NA,NA,NA,1
Ozzy,22,6O,721451,M,HFD,SIX,8,NA,5.886104031450156,1.3750897621387177,NA,NA,1444,2.70805020110221,2.1972245773362196,NA,NA,NA,1
Ozzy,46,7O,721573,M,LFD,SIX,11,9.882059605122508,5.993961427306569,1.1394342831883648,0.010752688172043012,0.8647868890070396,1849,2.8903717578961645,0,NA,NA,NA,-1
Ozzy,28,7O,721811,M,HFD,SIX,7,9.783915417395283,6.0014148779611505,1.7144013269376988,0.010309278350515464,1.37611775466833,441,1.9459101490553132,3.5263605246161616,NA,NA,NA,1
Ozzy,21,7O,721851,M,HFD,SIX,7,9.72157591171514,6.118097198041348,1.6321363989540898,0.009615384615384616,1.2427126326418665,169,2.3978952727983707,3.6375861597263857,NA,NA,NA,1
Ozzy,29,7O,721861,M,LFD,SIX,5,9.96509992166365,6.068425588244111,1.3191228329262252,0.009345794392523364,0.9228690472342775,1089,2.6390573296152584,2.70805020110221,NA,NA,NA,-1
Ozzy,32,7O,721883,M,HFD,SIX,6,9.8793741471728609,6.163314804034641,1.843492188879181,0.010416666666666666,1.1780394222994315,256,1.9459101490553132,3.6635616461296463,NA,NA,NA,1
Ozzy,35,7O,721901,M,HFD,SIX,12,9.887408982323437,6.159095388491933,1.6195560426735105,0.009708737864077669,1.6176044751004939,400,0.6931471805599453,3.6888794541139363,NA,NA,NA,1
Ozzy,20,9O,725273,M,HFD,SIX,1,9.711176264112805,5.823045895483019,1.1345559345715648,0.01,0.897107912457381,2304,0,2.5649493574615367,NA,NA,NA,1
Ozzy,20,9O,725274,M,LFD,SIX,1,9.550804629866933,5.752572638825633,0.8144625404292337,0.013333333333333334,0.5001690435774618,2304,0.6931471805599453,1.791759469228055,NA,NA,NA,-1
Ozzy,19,9O,725296,M,HFD,SIX,1,NA,5.736572297479192,1.1582846200234103,0.010752688172043012,0.3974329364109001,2116,0,2.70805020110221,NA,NA,NA,1
Ozzy,19,9O,725297,M,LFD,SIX,1,9.634201890362496,5.82600010738045,1.1191108103749048,0.010869565217391304,0.7294791098073355,2025,1.3862943611198906,2.5649493574615367,NA,NA,NA,-1
Ozzy,17,9O,725307,M,HFD,SIX,1,9.686791918650837,5.796057750765372,1.1462403375255814,0.009433962264150943,0.38321949916084475,3025,0,1.791759469228055,NA,NA,NA,1
Ozzy,17,9O,725308,M,HFD,SIX,1,9.726959182782936,5.863631175598097,1.1709550352751776,0.01020408163265306,1.4652210616736914,2304,0.6931471805599453,2.4849066497880004,NA,NA,NA,1
