"id" "sex" "sire" "dam" "generation"
"1" 414521 "M" NA NA 0
"2" 447111 "M" NA NA 0
"3" 447112 "M" NA NA 0
"4" 414591 "M" NA NA 0
"5" 414581 "M" NA NA 0
"6" 414561 "M" NA NA 0
"7" 414471 "M" NA NA 0
"8" 414541 "M" NA NA 0
"9" 414611 "M" NA NA 0
"10" 414571 "M" NA NA 0
"11" 414551 "M" NA NA 0
"12" 414281 "M" NA NA 0
"13" 414511 "M" NA NA 0
"14" 414491 "M" NA NA 0
"15" 414601 "M" NA NA 0
"16" 414461 "M" NA NA 0
"17" 414451 "M" NA NA 0
"18" 414452 "M" NA NA 0
"19" 414641 "M" NA NA 0
"20" 414501 "M" NA NA 0
"21" 414481 "M" NA NA 0
"22" 447121 "M" NA NA 0
"23" 414631 "M" NA NA 0
"24" 447131 "M" NA NA 0
"25" 414621 "M" NA NA 0
"26" 414531 "M" NA NA 0
"27" 447141 "M" NA NA 0
"28" 447161 "M" NA NA 0
"29" 447171 "M" NA NA 0
"30" 447181 "M" NA NA 0
"31" 447191 "M" NA NA 0
"32" 447201 "M" NA NA 0
"33" 454321 "M" NA NA 0
"34" 454331 "M" NA NA 0
"35" 447211 "M" NA NA 0
"36" 447221 "M" NA NA 0
"37" 447231 "M" NA NA 0
"38" 454341 "M" NA NA 0
"39" 447241 "M" NA NA 0
"40" 454351 "M" NA NA 0
"41" 454361 "M" NA NA 0
"42" 454371 "M" NA NA 0
"43" 447641 "M" NA NA 0
"44" 447651 "M" NA NA 0
"45" 447661 "M" NA NA 0
"46" 454381 "M" NA NA 0
"47" 447671 "M" NA NA 0
"48" 447681 "M" NA NA 0
"49" 447691 "M" NA NA 0
"50" 447701 "M" NA NA 0
"51" 447711 "M" NA NA 0
"52" 447721 "M" NA NA 0
"53" 447731 "M" NA NA 0
"54" 454333 "M" NA NA 0
"55" 414522 "F" NA NA 0
"56" 447113 "F" NA NA 0
"57" 414592 "F" NA NA 0
"58" 414582 "F" NA NA 0
"59" 414562 "F" NA NA 0
"60" 414472 "F" NA NA 0
"61" 414542 "F" NA NA 0
"62" 414612 "F" NA NA 0
"63" 414572 "F" NA NA 0
"64" 414552 "F" NA NA 0
"65" 414282 "F" NA NA 0
"66" 414512 "F" NA NA 0
"67" 414492 "F" NA NA 0
"68" 414602 "F" NA NA 0
"69" 414462 "F" NA NA 0
"70" 414642 "F" NA NA 0
"71" 414502 "F" NA NA 0
"72" 414482 "F" NA NA 0
"73" 447122 "F" NA NA 0
"74" 414632 "F" NA NA 0
"75" 447132 "F" NA NA 0
"76" 414622 "F" NA NA 0
"77" 414532 "F" NA NA 0
"78" 447142 "F" NA NA 0
"79" 447162 "F" NA NA 0
"80" 447172 "F" NA NA 0
"81" 447182 "F" NA NA 0
"82" 447192 "F" NA NA 0
"83" 447251 "F" NA NA 0
"84" 447202 "F" NA NA 0
"85" 454322 "F" NA NA 0
"86" 454332 "F" NA NA 0
"87" 447212 "F" NA NA 0
"88" 447222 "F" NA NA 0
"89" 454401 "F" NA NA 0
"90" 447232 "F" NA NA 0
"91" 454342 "F" NA NA 0
"92" 447242 "F" NA NA 0
"93" 454352 "F" NA NA 0
"94" 454362 "F" NA NA 0
"95" 454372 "F" NA NA 0
"96" 447642 "F" NA NA 0
"97" 447652 "F" NA NA 0
"98" 447662 "F" NA NA 0
"99" 454382 "F" NA NA 0
"100" 447672 "F" NA NA 0
"101" 447682 "F" NA NA 0
"102" 447692 "F" NA NA 0
"103" 447712 "F" NA NA 0
"104" 447722 "F" NA NA 0
"105" 447732 "F" NA NA 0
"106" 447173 "F" NA NA 0
"107" 447183 "F" NA NA 0
"108" 447203 "F" NA NA 0
"109" 447213 "F" NA NA 0
"110" 447233 "F" NA NA 0
"111" 447243 "F" NA NA 0
"112" 447663 "F" NA NA 0
"113" 461371 "F" 414541 414562 1
"114" 441941 "F" 414452 414522 1
"115" 438741 "F" 447131 447122 1
"116" 440793 "F" 414452 414602 1
"117" 438752 "F" 447121 447113 1
"118" 438806 "F" 414611 414512 1
"119" 439881 "F" 414481 414642 1
"120" 439872 "F" 414471 414502 1
"121" 440822 "F" 414641 414462 1
"122" 469582 "F" 414641 414462 1
"123" 433042 "F" 414551 414612 1
"124" 440801 "F" 414531 414582 1
"125" 433031 "F" 414491 414282 1
"126" 438771 "F" 447111 414632 1
"127" 439864 "F" 414581 414482 1
"128" 438782 "F" 414511 414622 1
"129" 438631 "F" 414281 414572 1
"130" 447911 "F" 414461 414472 1
"131" 441935 "F" 414501 414492 1
"132" 438891 "F" 414521 414532 1
"133" 447802 "F" 447141 447642 1
"134" 438796 "F" 414601 414552 1
"135" 455951 "F" 454321 447172 1
"136" 455964 "F" 454341 447233 1
"137" 459251 "F" 447171 447203 1
"138" 456031 "F" 447651 454362 1
"139" 449423 "F" 447221 447202 1
"140" 447794 "F" 447241 447182 1
"141" 478254 "F" 454381 447663 1
"142" 456054 "F" 454333 454382 1
"143" 447762 "F" 447191 447652 1
"144" 456003 "F" 454361 454332 1
"145" 449414 "F" 447231 447162 1
"146" 455994 "F" 454371 454322 1
"147" 455971 "F" 454351 447222 1
"148" 456044 "F" 447201 454372 1
"149" 467062 "F" 454331 447213 1
"150" 478213 "F" 454331 447213 1
"151" 447771 "F" 447161 447662 1
"152" 461641 "F" 414571 414542 1
"153" 456021 "F" 447661 454352 1
"154" 447755 "F" 447181 447212 1
"155" 462481 "F" 414631 447132 1
"156" 466802 "F" 414561 414592 1
"157" 483711 "F" 447641 447243 1
"158" 466721 "F" 454341 447233 1
"159" 440772 "M" 414541 414562 1
"160" 441942 "M" 414452 414522 1
"161" 438742 "M" 447131 447122 1
"162" 440792 "M" 414452 414602 1
"163" 438751 "M" 447121 447113 1
"164" 438805 "M" 414611 414512 1
"165" 439882 "M" 414481 414642 1
"166" 439871 "M" 414471 414502 1
"167" 440821 "M" 414641 414462 1
"168" 433041 "M" 414551 414612 1
"169" 440802 "M" 414531 414582 1
"170" 438733 "M" 414621 447142 1
"171" 433032 "M" 414491 414282 1
"172" 438772 "M" 447111 414632 1
"173" 439863 "M" 414581 414482 1
"174" 438781 "M" 414511 414622 1
"175" 438632 "M" 414281 414572 1
"176" 447912 "M" 414461 414472 1
"177" 441934 "M" 414501 414492 1
"178" 438892 "M" 414521 414532 1
"179" 447801 "M" 447141 447642 1
"180" 438795 "M" 414601 414552 1
"181" 455952 "M" 454321 447172 1
"182" 455963 "M" 454341 447233 1
"183" 459252 "M" 447171 447203 1
"184" 456032 "M" 447651 454362 1
"185" 449424 "M" 447221 447202 1
"186" 447793 "M" 447241 447182 1
"187" 478253 "M" 454381 447663 1
"188" 456053 "M" 454333 454382 1
"189" 447761 "M" 447191 447652 1
"190" 456002 "M" 454361 454332 1
"191" 449413 "M" 447231 447162 1
"192" 455993 "M" 454371 454322 1
"193" 455972 "M" 454351 447222 1
"194" 456043 "M" 447201 454372 1
"195" 467061 "M" 454331 447213 1
"196" 447772 "M" 447161 447662 1
"197" 461642 "M" 414571 414542 1
"198" 456022 "M" 447661 454352 1
"199" 447754 "M" 447181 447212 1
"200" 462482 "M" 414631 447132 1
"201" 466801 "M" 414561 414592 1
"202" 467041 "M" 447641 447243 1
"203" 447747 "M" 447211 447192 1
"204" 447785 "M" 447112 447232 1
"205" 438734 "F" 414621 447142 1
"206" 447748 "F" 447211 447192 1
"207" 447786 "F" 447112 447232 1
"208" 466924 "F" 440772 441941 2
"209" 466934 "F" 441942 438741 2
"210" 466944 "F" 438742 440793 2
"211" 466954 "F" 440792 438752 2
"212" 466964 "F" 438751 438806 2
"213" 466974 "F" 438805 439881 2
"214" 466984 "F" 439882 439872 2
"215" 466994 "F" 439871 440822 2
"216" 467004 "F" 440821 433042 2
"217" 467014 "F" 433041 440801 2
"218" 467024 "F" 440802 438734 2
"219" 467034 "F" 438733 433031 2
"220" 469694 "F" 433032 438771 2
"221" 488474 "F" 438772 478213 2
"222" 469716 "F" 439863 438782 2
"223" 469724 "F" 438781 438631 2
"224" 498493 "F" 438781 438631 2
"225" 471303 "F" 438632 447911 2
"226" 504013 "F" 438632 447911 2
"227" 471314 "F" 447912 441935 2
"228" 471322 "F" 441934 438891 2
"229" 471334 "F" 438892 447802 2
"230" 475152 "F" 447801 438796 2
"231" 475164 "F" 438795 455951 2
"232" 475174 "F" 455952 455964 2
"233" 502253 "F" 455952 455964 2
"234" 475184 "F" 455963 459251 2
"235" 475194 "F" 459252 456031 2
"236" 475202 "F" 456032 449423 2
"237" 498503 "F" 456032 449423 2
"238" 475212 "F" 449424 447794 2
"239" 488442 "F" 447793 478254 2
"240" 488453 "F" 478253 447748 2
"241" 475224 "F" 447747 456054 2
"242" 478294 "F" 456053 447762 2
"243" 478304 "F" 447761 456003 2
"244" 504883 "F" 447761 456003 2
"245" 478314 "F" 456002 449414 2
"246" 478324 "F" 449413 455994 2
"247" 478372 "F" 455993 455971 2
"248" 478382 "F" 455972 456044 2
"249" 478392 "F" 456043 447786 2
"250" 488092 "F" 447785 478213 2
"251" 499382 "F" 467061 447771 2
"252" 478412 "F" 447772 461641 2
"253" 480042 "F" 461642 456021 2
"254" 480052 "F" 456022 447755 2
"255" 480062 "F" 447754 462481 2
"256" 480072 "F" 462482 466802 2
"257" 488462 "F" 466801 483711 2
"258" 502263 "F" 467041 461371 2
"259" 502273 "F" 440772 441941 2
"260" 509512 "F" 438805 439881 2
"261" 503994 "F" 439882 439872 2
"262" 498554 "F" 439871 440822 2
"263" 508184 "F" 440821 433042 2
"264" 504094 "F" 440802 438734 2
"265" 498524 "F" 438733 433031 2
"266" 504004 "F" 433032 438771 2
"267" 504104 "F" 438772 478213 2
"268" 502164 "F" 439863 438782 2
"269" 498494 "F" 438781 438631 2
"270" 504014 "F" 438632 447911 2
"271" 499334 "F" 447912 441935 2
"272" 499364 "F" 441934 438891 2
"273" 508004 "F" 438892 447802 2
"274" 502254 "F" 455952 455964 2
"275" 508444 "F" 455963 459251 2
"276" 505803 "F" 459252 456031 2
"277" 498504 "F" 456032 449423 2
"278" 504024 "F" 449424 447794 2
"279" 500314 "F" 447793 478254 2
"280" 488454 "F" 478253 447748 2
"281" 499534 "F" 447747 469582 2
"282" 505794 "F" 456053 447762 2
"283" 504884 "F" 447761 456003 2
"284" 504084 "F" 456002 449414 2
"285" 502201 "F" 449413 455994 2
"286" 502214 "F" 455993 455971 2
"287" 508454 "F" 455972 456044 2
"288" 505764 "F" 456043 447786 2
"289" 502224 "F" 447785 478213 2
"290" 513453 "F" 467061 447771 2
"291" 504863 "F" 447772 461641 2
"292" 505742 "F" 461642 456021 2
"293" 511581 "F" 456022 447755 2
"294" 504873 "F" 447754 462481 2
"295" 508143 "F" 462482 466802 2
"296" 508193 "F" 466801 483711 2
"297" 502264 "F" 467041 461371 2
"298" 466923 "M" 440772 441941 2
"299" 466933 "M" 441942 438741 2
"300" 466943 "M" 438742 440793 2
"301" 466953 "M" 440792 438752 2
"302" 466963 "M" 438751 438806 2
"303" 466973 "M" 438805 439881 2
"304" 466983 "M" 439882 439872 2
"305" 466993 "M" 439871 440822 2
"306" 467003 "M" 440821 433042 2
"307" 467013 "M" 433041 440801 2
"308" 467023 "M" 440802 438734 2
"309" 467033 "M" 438733 433031 2
"310" 469693 "M" 433032 438771 2
"311" 488471 "M" 438772 478213 2
"312" 469715 "M" 439863 438782 2
"313" 469723 "M" 438781 438631 2
"314" 471302 "M" 438632 447911 2
"315" 471313 "M" 447912 441935 2
"316" 471321 "M" 441934 438891 2
"317" 471333 "M" 438892 447802 2
"318" 475151 "M" 447801 438796 2
"319" 475163 "M" 438795 455951 2
"320" 475173 "M" 455952 455964 2
"321" 475183 "M" 455963 459251 2
"322" 475193 "M" 459252 456031 2
"323" 475201 "M" 456032 449423 2
"324" 475211 "M" 449424 447794 2
"325" 488441 "M" 447793 478254 2
"326" 488451 "M" 478253 447748 2
"327" 475223 "M" 447747 456054 2
"328" 478293 "M" 456053 447762 2
"329" 478303 "M" 447761 456003 2
"330" 478313 "M" 456002 449414 2
"331" 478323 "M" 449413 455994 2
"332" 478371 "M" 455993 455971 2
"333" 478381 "M" 455972 456044 2
"334" 478391 "M" 456043 447786 2
"335" 488091 "M" 447785 478213 2
"336" 499381 "M" 467061 447771 2
"337" 478411 "M" 447772 461641 2
"338" 480041 "M" 461642 456021 2
"339" 480051 "M" 456022 447755 2
"340" 480061 "M" 447754 462481 2
"341" 480071 "M" 462482 466802 2
"342" 488461 "M" 466801 483711 2
"343" 502261 "M" 467041 461371 2
"344" 502271 "M" 440772 441941 2
"345" 504031 "M" 438805 439881 2
"346" 503992 "M" 439882 439872 2
"347" 498552 "M" 439871 440822 2
"348" 508182 "M" 440821 433042 2
"349" 504092 "M" 440802 438734 2
"350" 498522 "M" 438733 433031 2
"351" 504002 "M" 433032 438771 2
"352" 504102 "M" 438772 478213 2
"353" 502162 "M" 439863 438782 2
"354" 498492 "M" 438781 438631 2
"355" 504012 "M" 438632 447911 2
"356" 499332 "M" 447912 441935 2
"357" 499362 "M" 441934 438891 2
"358" 508002 "M" 438892 447802 2
"359" 502252 "M" 455952 455964 2
"360" 508441 "M" 455963 459251 2
"361" 505802 "M" 459252 456031 2
"362" 498502 "M" 456032 449423 2
"363" 504022 "M" 449424 447794 2
"364" 500312 "M" 447793 478254 2
"365" 488452 "M" 478253 447748 2
"366" 499532 "M" 447747 469582 2
"367" 505792 "M" 456053 447762 2
"368" 504882 "M" 447761 456003 2
"369" 504081 "M" 456002 449414 2
"370" 502211 "M" 455993 455971 2
"371" 508452 "M" 455972 456044 2
"372" 505762 "M" 456043 447786 2
"373" 502222 "M" 447785 478213 2
"374" 513451 "M" 467061 447771 2
"375" 511521 "M" 447772 461641 2
"376" 511601 "M" 461642 456021 2
"377" 505752 "M" 456022 447755 2
"378" 504872 "M" 447754 462481 2
"379" 515051 "M" 462482 466802 2
"380" 508192 "M" 466801 483711 2
"381" 502262 "M" 467041 461371 2
"382" 533247 "F" 466923 498503 3
"383" 508494 "F" 466933 466944 3
"384" 508495 "F" 466933 466944 3
"385" 508504 "F" 466943 466954 3
"386" 508515 "F" 466953 466964 3
"387" 508524 "F" 466963 466974 3
"388" 508538 "F" 466973 466984 3
"389" 508539 "F" 466973 466984 3
"390" 508547 "F" 466983 466994 3
"391" 508555 "F" 466993 467004 3
"392" 508556 "F" 466993 467004 3
"393" 508567 "F" 467003 467014 3
"394" 508576 "F" 467013 467024 3
"395" 509545 "F" 467023 467034 3
"396" 509558 "F" 467033 469694 3
"397" 5095610 "F" 469693 488474 3
"398" 509577 "F" 488471 469716 3
"399" 509594 "F" 469723 471303 3
"400" 509602 "F" 471302 471314 3
"401" 509608 "F" 471302 471314 3
"402" 509616 "F" 471313 471322 3
"403" 509627 "F" 471321 471334 3
"404" 509639 "F" 471333 475152 3
"405" 5096310 "F" 471333 475152 3
"406" 509646 "F" 475151 475164 3
"407" 533259 "F" 475163 502253 3
"408" 511628 "F" 475173 475184 3
"409" 511637 "F" 475183 475194 3
"410" 511646 "F" 475193 475202 3
"411" 511655 "F" 475201 475212 3
"412" 511665 "F" 475211 488442 3
"413" 511674 "F" 488441 488453 3
"414" 511675 "F" 488441 488453 3
"415" 511687 "F" 488451 475224 3
"416" 511698 "F" 475223 478294 3
"417" 511706 "F" 478293 478304 3
"418" 5117111 "F" 478303 478314 3
"419" 5117110 "F" 478303 478314 3
"420" 511727 "F" 478313 478324 3
"421" 511728 "F" 478313 478324 3
"422" 528394 "F" 478323 478372 3
"423" 519135 "F" 478371 478382 3
"424" 519136 "F" 478371 478382 3
"425" 513346 "F" 478381 478392 3
"426" 513354 "F" 478391 488092 3
"427" 5133610 "F" 488091 499382 3
"428" 513378 "F" 499381 478412 3
"429" 513377 "F" 499381 478412 3
"430" 513385 "F" 478411 480042 3
"431" 513397 "F" 480041 480052 3
"432" 519048 "F" 480051 480062 3
"433" 522035 "F" 480061 480072 3
"434" 513429 "F" 480071 488462 3
"435" 513434 "F" 488461 502263 3
"436" 5134410 "F" 502261 466924 3
"437" 5134411 "F" 502261 466924 3
