IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
734525,,F,,,,726211,726192,,,3500,,,
734575,,F,,,,725383,726212,,,3500,,,
734576,,F,,,,725383,726212,,,3500,,,
734634,,F,,,,733112,722921,,,3500,,,
734526,,F,,,,726211,726192,,,3500,,,
734585,,F,,,,729521,728711,,,3500,,,
734673,,F,,,,728081,727772,,,3500,,,
734762,,F,,,,726561,726252,,,3500,,,
734733,,F,,,,733091,733121,,,3500,,,
734783,,F,,,,727723,728661,,,3500,,,
736259,,F,,,,729031,727992,,,3500,,,
7362310,,F,,,,733065,733113,,,3500,,,
736297,,F,,,,728061,727952,,,3500,,,
736339,,F,,,,727791,727934,,,3500,,,
736289,,F,,,,728031,729362,,,3500,,,
736319,,F,,,,727901,727942,,,3500,,,
736393,,F,,,,733542,733582,,,3500,,,
736423,,F,,,,729351,728072,,,3500,,,
736543,,F,,,,727801,727912,,,3500,,,
736533,,F,,,,727763,727872,,,3500,,,
737073,,F,,,,733251,733271,,,3500,,,
736443,,F,,,,733521,733541,,,3500,,,
738373,,F,,,,732091,733801,,,3500,,,
738333,,F,,,,727933,728012,,,3500,,,
738493,,F,,,,733171,733191,,,3500,,,
738573,,F,,,,727733,728082,,,3500,,,
738293,,F,,,,727813,728062,,,3500,,,
738503,,F,,,,733472,733092,,,3500,,,
738543,,F,,,,727921,727792,,,3500,,,
738603,,F,,,,728091,727802,,,3500,,,
738683,,F,,,,728021,729792,,,3500,,,
738693,,F,,,,727851,728092,,,3500,,,
738593,,F,,,,733581,733601,,,3500,,,
738711,,F,,,,727771,728052,,,3500,,,
740865,,F,,,,731561,733771,,,3500,,,
740985,,F,,,,733802,731942,,,3500,,,
740785,,F,,,,731891,733761,,,3500,,,
740797,,F,,,,733821,731982,,,3500,,,
740955,,F,,,,734002,734101,,,3500,,,
740925,,F,,,,731821,731712,,,3500,,,
740903,,F,,,,732031,731522,,,3500,,,
740893,,F,,,,731671,731922,,,3500,,,
740913,,F,,,,734112,731562,,,3500,,,
740882,,F,,,,731651,731552,,,3500,,,
741003,,F,,,,734122,732052,,,3500,,,
740873,,F,,,,733762,732322,,,3500,,,
743624,,F,,,,734352,731882,,,3500,,,
743634,,F,,,,731981,734111,,,3500,,,
743593,,F,,,,733792,731872,,,3500,,,
743743,,F,,,,732231,732242,,,3500,,,
743614,,F,,,,731911,732042,,,3500,,,
743683,,F,,,,736991,737042,,,3500,,,
743943,,F,,,,731841,731362,,,3500,,,
743953,,F,,,,732241,734241,,,3500,,,
743923,,F,,,,731881,731742,,,3500,,,
744023,,F,,,,732051,734391,,,3500,,,
743933,,F,,,,731551,731822,,,3500,,,
744011,,F,,,,732321,731752,,,3500,,,
745543,,F,,,,736871,736982,,,3500,,,
745563,,F,,,,737441,737312,,,3500,,,
745553,,F,,,,737041,737452,,,3500,,,
745573,,F,,,,738061,737562,,,3500,,,
745533,,F,,,,736901,737012,,,3500,,,
745615,,F,,,,741981,741562,,,3500,,,
745893,,F,,,,737821,737282,,,3500,,,
745903,,F,,,,737671,737402,,,3500,,,
745883,,F,,,,737231,736912,,,3500,,,
746013,,F,,,,737411,737343,,,3500,,,
746003,,F,,,,737331,736752,,,3500,,,
746023,,F,,,,737201,736882,,,3500,,,
749093,,F,,,,737221,736732,,,3500,,,
749251,,F,,,,742051,741482,,,3500,,,
749213,,F,,,,737471,736692,,,3500,,,
749163,,F,,,,736861,737322,,,3500,,,
749143,,F,,,,741401,741892,,,3500,,,
749171,,F,,,,736681,737062,,,3500,,,
749423,,F,,,,737831,737252,,,3500,,,
749473,,F,,,,737342,737442,,,3500,,,
749513,,F,,,,736881,736742,,,3500,,,
749503,,F,,,,737421,736712,,,3500,,,
749405,,F,,,,736761,737272,,,3500,,,
749483,,F,,,,737191,736662,,,3500,,,
751792,,F,,,,742041,741402,,,3500,,,
751785,,F,,,,742071,741552,,,3500,,,
751943,,F,,,,742281,741952,,,3500,,,
751953,,F,,,,741341,741872,,,3500,,,
751774,,F,,,,741801,741332,,,3500,,,
751933,,F,,,,741661,743392,,,3500,,,
752123,,F,,,,741171,741352,,,3500,,,
752143,,F,,,,741151,741232,,,3500,,,
752163,,F,,,,741251,741772,,,3500,,,
752433,,F,,,,741351,741122,,,3500,,,
752133,,F,,,,741971,741692,,,3500,,,
752343,,F,,,,741271,742022,,,3500,,,
734527,,F,,,,726211,726192,,,3500,,,
734636,,F,,,,733112,722921,,,3500,,,
734577,,F,,,,725383,726212,,,3500,,,
734587,,F,,,,729521,728711,,,3500,,,
734586,,F,,,,729521,728711,,,3500,,,
734635,,F,,,,733112,722921,,,3500,,,
734674,,F,,,,728081,727772,,,3500,,,
