updated.IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,dam.IDF51,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
461371,Black,F,NA,9/1/2006,NA,414541,414562,00068B7CBB,HSF0101,100,LT,HSM0007,HSF0005
441941,Black hood,F,NA,5/31/2006,NA,414452,414522,00068EA163,HSF0102,100,RT,HSM0016B,HSF0001
438741,Brown hood,F,NA,6/18/2006,NA,447131,447122,00068E2D59,HSF0103,100,RT,HSM0022,HSF0020
440793,Black hood,F,NA,6/15/2006,NA,414452,414602,00068E2755,HSF0104,100,LM,HSM0016B,HSF0014
438752,Brown,F,NA,6/15/2006,NA,447121,447113,00068E2E5F,HSF0105,100,RM,HSM0020,HSF0002
438806,Albino,F,NA,6/4/2006,NA,414611,414512,00068E9BA1,HSF0106,100,RM,HSM0008,HSF0012
439881,Albino,F,NA,6/11/2006,NA,414481,414642,00068E253F,HSF0107,100,RT,HSM0019,HSF0017
439872,Black hood,F,NA,6/12/2006,NA,414471,414502,00068E042F,HSF0108,100,RM,HSM0006,HSF0018
440822,Black,F,NA,6/21/2006,NA,414641,414462,00068E151E,HSF0109,100,LM,HSM0017,HSF0015
469582,Black,F,NA,9/30/2009,NA,414641,414462,000696D20E,HSF109B,100,RM,HSM0017,HSF0015
433042,Black hood,F,NA,6/11/2006,NA,414551,414612,00068EB39D,HSF0110,100,RM,HSM0010,HSF0008
440801,Brown,F,NA,6/16/2006,NA,414531,414582,00068E80BA,HSF0111,100,LT,HSM0024,HSF0004
433031,Brown hood,F,NA,6/12/2006,NA,414491,414282,00068E854D,HSF0113,100,RT,HSM0013,HSF0011
438771,Black,F,NA,6/18/2006,NA,447111,414632,000697AC83,HSF0114,100,RT,HSM0002,HSF0021
439864,Brown,F,NA,6/12/2006,NA,414581,414482,00068E94B4,HSF0115,100,LT,HSM0004,HSF0019
438782,Brown hood,F,NA,6/1/2006,NA,414511,414622,00068E9248,HSF0116,100,RM,HSM0012,HSF0023
438631,Black,F,NA,6/2/2006,NA,414281,414572,00068E287C,HSF0117,100,LT,HSM0011,HSF0009
447911,Albino,F,NA,7/12/2006,NA,414461,414472,00068E3423,HSF0118,100,RT,HSM0015,HSF0006
441935,Black,F,NA,5/29/2006,NA,414501,414492,00068E1D87,HSF0119,100,LM,HSM0018,HSF0013
438891,Black,F,NA,6/7/2006,NA,414521,414532,00068E32B3,HSF0120,100,RT,HSM0001,HSF0024
447802,Black hood,F,NA,8/6/2006,NA,447141,447642,00068E24B1,HSF0121,100,RM,HSM0025,HSF0045
438796,Brown hood,F,NA,6/4/2006,NA,414601,414552,00068E0E22,HSF0122,100,LB,HSM0014,HSF0010
455951,Black hood,F,NA,8/18/2006,NA,454321,447172,00068E2612,HSF0123,100,RT,HSM0032,HSF0027
455964,Black,F,NA,8/18/2006,NA,454341,447233,00068E2E14,HSF0124,100,RM,HSM0038,HSF0059
459251,Brown hood,F,NA,8/22/2006,NA,447171,447203,00068E8E85,HSF0125,100,RT,HSM0027,HSF0057
456031,Black hood,F,NA,9/3/2006,NA,447651,454362,00068B7300,HSF0126,100,RT,HSM0046,HSF0042
449423,Albino,F,NA,8/11/2006,NA,447221,447202,00068B5318,HSF0127,100,RT,HSM0035,HSF0031
447794,Brown,F,NA,8/6/2006,NA,447241,447182,00068B77B1,HSF0128,100,LT,HSM0039,HSF0028
478254,Brown hood,F,NA,11/6/2006,NA,454381,447663,00068B5C3A,HSF0129,100,LT,HSM0048,HSF0061
456054,Black,F,NA,8/30/2006,NA,454333,454382,00068B7328,HSF0131,100,RM,HSM0056,HSF0048
447762,Black hood,F,NA,7/27/2006,NA,447191,447652,00068B715F,HSF0132,100,RM,HSM0029,HSF0046
456003,Black hood,F,NA,8/25/2006,NA,454361,454332,00068B8D3D,HSF0133,100,LM,HSM0042,HSF0033
449414,Brown hood,F,NA,8/11/2006,NA,447231,447162,00068B34E3,HSF0134,100,RM,HSM0037,HSF0026
455994,Black hood,F,NA,7/24/2007,NA,454371,454322,00068B8104,HSF0135,100,LT,HSM0044,HSF0032
455971,Brown,F,NA,8/20/2006,NA,454351,447222,00068B6152,HSF0136,100,RB,HSM0040,HSF0035
456044,Black hood,F,NA,8/31/2006,NA,447201,454372,00068B6E48,HSF0137,100,LM,HSM0031,HSF0044
