ID.F51,CC,Sex,Fam.No,DOB,Home.Cage,Sire.ID,Dam.ID,Transponder.number,SW.ID,Generation,Ear.Punch,Sire.SW.ID,Dam.SW.ID
654552,Black.Hood,F,NA,2/4/13,NA,651441,650932,1006,HSF01401,1400,RM,HSM01301,HSF01302
654562,Brown,F,NA,3/3/13,NA,650931,650942,1051,HSF01402,1400,RM,HSM01302,HSF01303
654572,Albino,F,NA,2/1/13,NA,650941,650952,995,HSF01403,1400,RB,HSM01303,HSF01304
654582,Brown.Hood,F,NA,2/2/13,NA,650951,650962,999,HSF01404,1400,RM,HSM01304,HSF01305
654592,Black,F,NA,2/2/13,NA,650961,650972,1001,HSF01405,1400,RB,HSM01305,HSF01306
655112,Brown.Hood,F,NA,2/21/13,NA,650971,654142,1042,HSF01406,1400,RM,HSM01306,HSF013312
655122,Black.Hood,F,NA,3/5/13,NA,652721,654332,1059,HSF01407,1400,RB,HSM01331B,HSF01334B
655132,Black.Hood,F,NA,3/15/13,NA,654331,652362,1067,HSF01408,1400,RT,HSM01334B,HSF01309
654601,Black.Hood,F,NA,3/26/13,NA,652361,651012,1074,HSF01409,1400,RT,HSM01309,HSF01310
658992,Black.Hood,F,NA,7/19/13,NA,651011,651022,1094,HSF01410,1400,RT,HSM01310,HSF01311
654622,Black.Hood,F,NA,1/30/13,NA,651021,651032,991,HSF01411,1400,RT,HSM01311,HSF01312
654632,Black.Hood,F,NA,1/30/13,NA,651031,651042,993,HSF01412,1400,RM,HSM01312,HSF01313
654642,Black.Hood,F,NA,2/1/13,NA,651041,651052,997,HSF01413,1400,RT,HSM01313,HSF01314
654652,Albino,F,NA,2/15/13,NA,651051,651062,1028,HSF01414,1400,RT,HSM01314,HSF01315
654662,Brown.Hood,F,NA,2/2/13,NA,651951,651072,1003,HSF01415,1400,RT,HSM01315,HSF01316
655842,Black,F,NA,3/5/13,NA,651071,651082,1055,HSF01416,1400,RT,HSM01316,HSF01317
656432,Brown,F,NA,6/9/13,NA,656091,656102,1087,HSF01417,1400,RT,HSM01317B,HSF01324B
658492,Black,F,NA,7/1/13,NA,651091,651102,1089,HSF01418,1400,RM,HSM01318,HSF01319
654842,Brown,F,NA,2/10/13,NA,651101,651112,1018,HSF01419,1400,RM,HSM01319,HSF01320
654852,Brown.Hood,F,NA,2/8/13,NA,651971,651122,1012,HSF01420,1400,RM,HSM01320,HSF01321
654862,Black.Hood,F,NA,2/7/13,NA,651121,651132,1010,HSF01421,1400,RT,HSM01321,HSF01322
654872,black,F,NA,2/8/13,NA,651131,651142,1014,HSF01422,1400,RB,HSM01322,HSF01323
654882,Albino,F,NA,2/21/13,NA,651141,651152,1040,HSF01423,1400,RT,HSM01323,HSF01324
654892,Black.Hood,F,NA,2/28/13,NA,651151,651162,1047,HSF01424,1400,RT,HSM01324,HSF01325
654902,Black.Hood,F,NA,3/18/13,NA,651161,651982,1070,HSF01425,1400,RB,HSM01325,HSF01326
654912,Black.Hood,F,NA,3/5/13,NA,651171,651182,1057,HSF01426,1400,RM,HSM01326,HSF01327
654922,Black,F,NA,2/8/13,NA,651181,651192,1016,HSF01427,1400,RT,HSM01327,HSF01328
654992,Black,F,NA,2/13/13,NA,651191,651202,1020,HSF01428,1400,RB,HSM01328,HSF01329
655002,Black,F,NA,2/15/13,NA,651201,651212,1030,HSF01429,1400,RM,HSM01329,HSF01330
655012,Brown.Hood,F,NA,2/15/13,NA,651211,651222,1032,HSF01430,1400,RB,HSM01330,HSF01331
655022,Brown.Hood,F,NA,3/9/13,NA,652721,651232,1061,HSF01431,1400,RT,HSM01331B,HSF01332
655032,Brown.Hood,F,NA,2/13/13,NA,651231,651242,1022,HSF01432,1400,RT,HSM01332,HSF01333
655042,Albino,F,NA,2/14/13,NA,651241,651252,1024,HSF01433,1400,RM,HSM01333,HSF01334
655052,Black,F,NA,2/14/13,NA,652501,651382,1026,HSF01434,1400,RB,HSM01334,HSF01335
655062,Brown,F,NA,3/9/13,NA,651381,651262,1063,HSF01435,1400,RM,HSM01335,HSF01336
655072,Black,F,NA,3/3/13,NA,651261,651272,1053,HSF01436,1400,RB,HSM01336,HSF01337
655082,Black.Hood,F,NA,3/9/13,NA,651271,651372,1065,HSF01437,1400,RB,HSM01337,HSF01338
655092,Black.Hood,F,NA,2/15/13,NA,651371,651282,1034,HSF01438,1400,RT,HSM01338,HSF01339
655302,Black,F,NA,4/4/13,NA,654741,654712,1078,HSF01439,1400,RB,HSM01339,HSF01319B
660342,Brown,F,NA,9/8/13,NA,654741,654712,1178,HSF01439B,1400,RT,HSM01339,HSF01319B
657632,Black.Hood,F,NA,8/5/13,NA,657311,655772,1095,HSF01440,1400,RT,HSM01340B,HSF01319B
658502,Black,F,NA,7/4/13,NA,651101,651112,1090,HSF01441,1400,RB,HSM01319,HSF01320
660772,Brown,F,NA,9/27/13,NA,651091,651102,1187,HSF01441B,1400,RT,HSM01318,HSF01319
655152,Brown.Hood,F,NA,2/20/13,NA,651311,651322,1038,HSF01442,1400,RB,HSM01342,HSF01343
660472,Brown.Hood,F,NA,9/14/13,NA,651311,651322,1185,HSF01442B,1400,RB,HSM01342,HSF01343
656632,Brown.Hood,F,NA,4/10/13,NA,651321,651332,1080,HSF01443,1400,RT,HSM01343,HSF01344
655172,Albino,F,NA,4/15/13,NA,651331,651342,1082,HSF01444,1400,RM,HSM01344,HSF01345
655182,Black.Hood,F,NA,4/3/13,NA,654761,654112,1076,HSF01445,1400,RM,HSM01345,HSF01346
655191,Albino,F,NA,3/18/13,NA,654111,651442,1068,HSF01446,1400,RM,HSM01346,HSF01301
654551,Black,M,NA,2/4/13,NA,651441,650932,1005,HSM01401,1400,LM,HSM01301,HSF01302
654561,Brown.Hood,M,NA,3/3/13,NA,650931,650942,1050,HSM01402,1400,LB,HSM01302,HSF01303
654571,Brown,M,NA,2/1/13,NA,650941,650952,994,HSM01403,1400,LB,HSM01303,HSF01304
654581,Albino,M,NA,2/2/13,NA,650951,650962,998,HSM01404,1400,LM,HSM01304,HSF01305
654591,Black,M,NA,2/2/13,NA,650961,650972,0,HSM01405,1400,LB,HSM01305,HSF01306
655111,Brown,M,NA,2/21/13,NA,650971,654142,1041,HSM01406,1400,LM,HSM01306,HSF01331B
655121,Black,M,NA,3/5/13,NA,652721,654332,1058,HSM01407,1400,LT,HSM01331B,HSF01334B
655131,Black,M,NA,3/15/13,NA,654331,652362,1066,HSM01408,1400,LM,HSM01334B,HSF01309
658661,Black.Hood,M,NA,7/12/13,NA,652361,651012,1093,HSM01409,1400,LT,HSM01309,HSF01310
654611,Black.Hood,M,NA,2/19/13,NA,651011,651022,1035,HSM01410,1400,LM,HSM01310,HSF01311
654621,Black.Hood,M,NA,1/30/13,NA,651021,651032,990,HSM01411,1400,LT,HSM01311,HSF01312
654631,Black.Hood,M,NA,1/30/13,NA,651031,651042,992,HSM01412,1400,LM,HSM01312,HSF01313
654641,Albino,M,NA,2/1/13,NA,651041,651052,996,HSM01413,1400,LT,HSM01313,HSF01314
654651,Brown.Hood,M,NA,2/15/13,NA,651051,651062,1027,HSM01414,1400,LT,HSM01314,HSF01315
654661,Brown.Hood,M,NA,2/2/13,NA,651951,651072,1004,HSM01415,1400,LT,HSM01315,HSF01316
