IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
699571,NA,M,NA,NA,NA,694481,694142,NA,HSM02301,2300,NA,HSM02201,HSF02243
699581,NA,M,NA,NA,NA,694021,693172,NA,HSM02302,2300,NA,HSM02202,HSF02231
700941,NA,M,NA,NA,NA,695151,694172,NA,HSM02303,2300,NA,HSM02203,HSF02255
700951,NA,M,NA,NA,NA,695161,694482,NA,HSM02304,2300,NA,HSM02204,HSF02201
700641,NA,M,NA,NA,NA,694031,694672,NA,HSM02305,2300,NA,HSM02205,HSF02263
700971,NA,M,NA,NA,NA,693131,694642,NA,HSM02306,2300,NA,HSM02206,HSF02256
700651,NA,M,NA,NA,NA,694491,695162,NA,HSM02307,2300,NA,HSM02207,HSF02204
704901,NA,M,NA,NA,NA,702151,694652,NA,HSM02307B,2300,NA,HSM02207B,HSF02257
699591,NA,M,NA,NA,NA,694501,693132,NA,HSM02308,2300,NA,HSM02208,HSF02206
699601,NA,M,NA,NA,NA,694041,693192,NA,HSM02309,2300,NA,HSM02209,HSF02238
699621,NA,M,NA,NA,NA,694061,693222,NA,HSM02311,2300,NA,HSM02211,HSF02242
700981,NA,M,NA,NA,NA,696611,695132,NA,HSM02313,2300,NA,HSM02213,HSF02235
700991,NA,M,NA,NA,NA,697641,693212,NA,HSM02314,2300,NA,HSM02214,HSF02241
699631,NA,M,NA,NA,NA,694081,694062,NA,HSM02315,2300,NA,HSM02215,HSF02211
710031,NA,M,NA,NA,NA,695141,694192,NA,HSM02316,2300,NA,HSM02216,HSF02262
703521,NA,M,NA,NA,NA,696311,694632,NA,HSM02318,2300,NA,HSM02218,HSF02254
700661,NA,M,NA,NA,NA,694091,694662,NA,HSM02319,2300,NA,HSM02219,HSF02260
699651,NA,M,NA,NA,NA,693141,694132,NA,HSM02320,2300,NA,HSM02220,HSF02239
703531,NA,M,NA,NA,NA,694101,696312,NA,HSM02321,2300,NA,HSM02221,HSF02218
699671,NA,M,NA,NA,NA,696301,694102,NA,HSM02322,2300,NA,HSM02222,HSF02221
703451,NA,M,NA,NA,NA,693151,694502,NA,HSM02323,2300,NA,HSM02223,HSF02208
700691,NA,M,NA,NA,NA,694521,695152,NA,HSM02324,2300,NA,HSM02224,HSF02203
699661,NA,M,NA,NA,NA,694531,694082,NA,HSM02325,2300,NA,HSM02225,HSF02215
700721,NA,M,NA,NA,NA,694541,694162,NA,HSM02326,2300,NA,HSM02226,HSF02253
701011,NA,M,NA,NA,NA,694551,694182,NA,HSM02327,2300,NA,HSM02227,HSF02261
