IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID,,,,,,,,
713681,NA,M,NA,NA,NA,708671,708982,NA,HSM02501,2500,NA,HSM02401,HSF02432,,,,,,,,
713891,NA,M,NA,NA,NA,708681,709302,NA,HSM02502,2500,NA,HSM02402,HSF02464,,,,,,,,
713711,NA,M,NA,NA,NA,708691,709282,NA,HSM02503,2500,NA,HSM02403,HSF02462,,,,,,,,
713511,NA,M,NA,NA,NA,708701,709132,NA,HSM02504,2500,NA,HSM02404,HSF02447,,,,,,,,
713491,NA,M,NA,NA,NA,708711,709262,NA,HSM02505,2500,NA,HSM02405,HSF02460,,,,,,,,
713941,NA,M,NA,NA,NA,708721,709292,NA,HSM02506,2500,NA,HSM02406,HSF02463,,,,,,,,
713461,NA,M,NA,NA,NA,708731,709182,NA,HSM02507,2500,NA,HSM02407,HSF02452,,,,,,,,
713911,NA,M,NA,NA,NA,708741,709232,NA,HSM02507B,2500,NA,HSM02407B,HSF02457,,,,,,,,
713881,NA,M,NA,NA,NA,708761,709242,NA,HSM02509,2500,NA,HSM02409,HSF02458,,,,,,,,
713781,NA,M,NA,NA,NA,708781,708842,NA,HSM02511,2500,NA,HSM02411,HSF02418,,,,,,,,
713661,NA,M,NA,NA,NA,708791,709082,NA,HSM02513,2500,NA,HSM02413,HSF02442,,,,,,,,
713741,NA,M,NA,NA,NA,708801,709102,NA,HSM02514,2500,NA,HSM02414,HSF02444,,,,,,,,
713801,NA,M,NA,NA,NA,708811,708802,NA,HSM02515,2500,NA,HSM02415,HSF02414,,,,,,,,
714001,NA,M,NA,NA,NA,710771,708762,NA,HSM02516,2500,NA,HSM02416,HSF02409,,,,,,,,
713861,NA,M,NA,NA,NA,708841,708782,NA,HSM02518,2500,NA,HSM02418,HSF02411,,,,,,,,
713791,NA,M,NA,NA,NA,708851,708742,NA,HSM02519,2500,NA,HSM02419,HSF02407B,,,,,,,,
713811,NA,M,NA,NA,NA,708861,708812,NA,HSM02520,2500,NA,HSM02420,HSF02415,,,,,,,,
713751,NA,M,NA,NA,NA,708871,708962,NA,HSM02521,2500,NA,HSM02421,HSF02430,,,,,,,,
713551,NA,M,NA,NA,NA,708881,708922,NA,HSM02522,2500,NA,HSM02422,HSF02426,,,,,,,,
713561,NA,M,NA,NA,NA,708891,709192,NA,HSM02523,2500,NA,HSM02423,HSF02453,,,,,,,,
714021,NA,M,NA,NA,NA,708901,710772,NA,HSM02524,2500,NA,HSM02424,HSF02416,,,,,,,,
713421,NA,M,NA,NA,NA,708911,708892,NA,HSM02525,2500,NA,HSM02425,HSF02423,,,,,,,,
713991,NA,M,NA,NA,NA,716871,709052,NA,HSM02525B,2500,NA,HSM02425B,HSF02439,,,,,,,,
713621,NA,M,NA,NA,NA,708921,708732,NA,HSM02526,2500,NA,HSM02426,HSF02407,,,,,,,,
713611,NA,M,NA,NA,NA,708931,708672,NA,HSM02527,2500,NA,HSM02427,HSF02401,,,,,,,,
713471,NA,M,NA,NA,NA,708941,709142,NA,HSM02528,2500,NA,HSM02428,HSF02448,,,,,,,,
714031,NA,M,NA,NA,NA,716961,708852,NA,HSM02528B,2500,NA,HSM02428B,HSF02419,,,,,,,,
713431,NA,M,NA,NA,NA,708951,709152,NA,HSM02529,2500,NA,HSM02429,HSF02449,,,,,,,,
713901,NA,M,NA,NA,NA,708961,708942,NA,HSM02530,2500,NA,HSM02430,HSF02428,,,,,,,,
714011,NA,M,NA,NA,NA,708971,716872,NA,HSM02531,2500,NA,HSM02431,HSF02425B,,,,,,,,
713951,NA,M,NA,NA,NA,708981,708882,NA,HSM02532,2500,NA,HSM02432,HSF02422,,,,,,,,
713571,NA,M,NA,NA,NA,708991,708932,NA,HSM02533,2500,NA,HSM02433,HSF02427,,,,,,,,
714051,NA,M,NA,NA,NA,709001,713052,NA,HSM02534,2500,NA,HSM02434,HSF02459,,,,,,,,
713541,NA,M,NA,NA,NA,709011,709062,NA,HSM02535,2500,NA,HSM02435,HSF02440,,,,,,,,
720171,NA,M,NA,NA,NA,709021,709002,NA,HSM02536,2500,NA,HSM02436,HSF02434,,,,,,,,
713671,NA,M,NA,NA,NA,709031,708972,NA,HSM02537,2500,NA,HSM02437,HSF02431,,,,,,,,
713631,NA,M,NA,NA,NA,709041,708902,NA,HSM02538,2500,NA,HSM02438,HSF02424,,,,,,,,
713521,NA,M,NA,NA,NA,709051,708712,NA,HSM02539,2500,NA,HSM02439,HSF02405,,,,,,,,
713641,NA,M,NA,NA,NA,709061,709012,NA,HSM02540,2500,NA,HSM02440,HSF02435,,,,,,,,
713841,NA,M,NA,NA,NA,709071,709042,NA,HSM02541,2500,NA,HSM02441,HSF02438,,,,,,,,
713691,NA,M,NA,NA,NA,709081,708722,NA,HSM02542,2500,NA,HSM02442,HSF02406,,,,,,,,
713441,NA,M,NA,NA,NA,709091,709212,NA,HSM02543,2500,NA,HSM02443,HSF02455,,,,,,,,
713971,NA,M,NA,NA,NA,711101,709162,NA,HSM02543B,2500,NA,HSM02443B,HSF02450,,,,,,,,
713871,NA,M,NA,NA,NA,709101,708792,NA,HSM02544,2500,NA,HSM02444,HSF02413,,,,,,,,
713651,NA,M,NA,NA,NA,709111,709172,NA,HSM02545,2500,NA,HSM02445,HSF02451,,,,,,,,
713821,NA,M,NA,NA,NA,709121,709272,NA,HSM02546,2500,NA,HSM02446,HSF02461,,,,,,,,
713451,NA,M,NA,NA,NA,709131,708702,NA,HSM02547,2500,NA,HSM02447,HSF02404,,,,,,,,
713721,NA,M,NA,NA,NA,709141,708682,NA,HSM02548,2500,NA,HSM02448,HSF02402,,,,,,,,
713731,NA,M,NA,NA,NA,709151,708983,NA,HSM02549,2500,NA,HSM02449,HSF02432B,,,,,,,,
713581,NA,M,NA,NA,NA,709161,708952,NA,HSM02550,2500,NA,HSM02450,HSF02429,,,,,,,,
713501,NA,M,NA,NA,NA,709171,708692,NA,HSM02551,2500,NA,HSM02451,HSF02403,,,,,,,,
713771,NA,M,NA,NA,NA,709181,709072,NA,HSM02552,2500,NA,HSM02452,HSF02441,,,,,,,,
713481,NA,M,NA,NA,NA,709191,709112,NA,HSM02553,2500,NA,HSM02453,HSF02445,,,,,,,,
713851,NA,M,NA,NA,NA,709201,709022,NA,HSM02554,2500,NA,HSM02454,HSF02436,,,,,,,,
