IDF51,CC,Se,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
717712,Black hood,M,NA,NA,NA,696301,694102,NA,NA,2600,NA,HSM02222,HSF02221
717992,Black hood,M,NA,NA,NA,695121,693162,NA,NA,2600,NA,HSM02249,HSF02228
717964,Black,M,NA,NA,NA,694031,694672,NA,NA,2600,NA,HSM02205,HSF02263
717952,Brown,M,NA,NA,NA,694491,695162,NA,NA,2600,NA,HSM02207,HSF02204
718124,Brown hood,M,NA,NA,NA,710391,710511,NA,NA,2600,NA,HSM02343B,HSF02342
718282,Black,M,NA,NA,NA,699621,700942,NA,NA,2600,NA,HSM02311,HSF02303
718322,Black hood,M,NA,NA,NA,700721,701072,NA,NA,2600,NA,HSM02326,HSF02349
718242,Brown hood,M,NA,NA,NA,694661,694542,NA,NA,2600,NA,HSM02260,HSF02226
717722,Brown,M,NA,NA,NA,694151,694552,NA,NA,2600,NA,HSM02246,HSF02227
718342,Albino,M,NA,NA,NA,700711,699582,NA,NA,2600,NA,HSM02329,HSF02302
718382,Black,M,NA,NA,NA,701131,701092,NA,NA,2600,NA,HSM02362,HSF02354
718301,Brown,M,NA,NA,NA,699651,700982,NA,NA,2600,NA,HSM02320,HSF02313
718351,Brown hood,M,NA,NA,NA,699721,700722,NA,NA,2600,NA,HSM02342,HSF02326
718064,Brown,M,NA,NA,NA,700731,699702,NA,NA,2600,NA,HSM02338,HSF02337
717942,Albino,M,NA,NA,NA,695151,694172,NA,NA,2600,NA,HSM02203,HSF02255
718272,Black hood,M,NA,NA,NA,699601,700812,NA,NA,2600,NA,HSM02309,HSF02353
718292,Albino,M,NA,NA,NA,700981,699662,NA,NA,2600,NA,HSM02313,HSF02325
718652,Brown,M,NA,NA,NA,700701,699742,NA,NA,2600,NA,HSM02328,HSF02355
718362,Brown hood,M,NA,NA,NA,700821,701052,NA,NA,2600,NA,HSM02357,HSF02335
718372,Albino,M,NA,NA,NA,699751,701012,NA,NA,2600,NA,HSM02358 ,HSF02327
718202,Black,M,NA,NA,NA,694091,694662,NA,NA,2600,NA,HSM02219,HSF02260
718222,Brown,M,NA,NA,NA,694121,693242,NA,NA,2600,NA,HSM02237,HSF02245
718231,Albino,M,NA,NA,NA,693191,697642,NA,NA,2600,NA,HSM02238,HSF02214
718192,Brown,M,NA,NA,NA,694041,693192,NA,NA,2600,NA,HSM02209,HSF02238
718392,Black,M,NA,NA,NA,701121,700802,NA,NA,2600,NA,HSM02361,HSF02352
722101,Brown,M,NA,NA,NA,709811,710321,NA,NA,2600,NA,HSM02328B  ,HSF02314
722531,Black,M,NA,NA,NA,694571,694582,NA,NA,2600,NA,HSM02233  ,HSF02234
722611,Albino,M,NA,NA,NA,700661,700712,NA,NA,2600,NA,HSM02319  ,HSF02329
722272,Black,M,NA,NA,NA,708901,710772,NA,NA,2600,NA,HSM02424  ,HSF02416
722332,Black,M,NA,NA,NA,708991,708932,NA,NA,2600,NA,HSM02433  ,HSF02427
722762,Brown,M,NA,NA,NA,708711,709262,NA,NA,2600,NA,HSM02405  ,HSF02460
722442,Brown,M,NA,NA,NA,711101,709162,NA,NA,2600,NA,HSM02443B  ,HSF02450
722821,Brown hood,M,NA,NA,NA,708931,708672,NA,NA,2600,NA,HSM02427  ,HSF02401
722452,Brown hood,M,NA,NA,NA,709233,708912,NA,NA,2600,NA,HSM02457B  ,HSF02425
722402,Brown hood,M,NA,NA,NA,709261,711102,NA,NA,2600,NA,HSM02460  ,HSF02443B
722571,Brown hood,M,NA,NA,NA,696251,695142,NA,NA,2600,NA,HSM02259  ,HSF02216
722581,Brown,M,NA,NA,NA,694191,694612,NA,NA,2600,NA,HSM02262  ,HSF02250
722242,Brown,M,NA,NA,NA,708731,709182,NA,NA,2600,NA,HSM02407  ,HSF02452
722661,Black,M,NA,NA,NA,700671,700692,NA,NA,2600,NA,HSM02336  ,HSF02324
722432,Brown hood,M,NA,NA,NA,716871,709052,NA,NA,2600,NA,HSM02425B  ,HSF02439
722501,Brown,M,NA,NA,NA,696311,694632,NA,NA,2600,NA,HSM02218  ,HSF02254
722202,Brown,M,NA,NA,NA,701071,700652,NA,NA,2600,NA,HSM02349  ,HSF02307
722782,Brown hood,M,NA,NA,NA,708801,709102,NA,NA,2600,NA,HSM02414 , HSF02444
722133,Black,M,NA,NA,NA,703521,703532,NA,NA,2600,NA,HSM02318  ,HSF02321
722651,Black hood,M,NA,NA,NA,701051,701032,NA,NA,2600,NA,HSM02335  ,HSF02333
722891,NA,M,NA,NA,NA,713711,713432,NA,NA,2600,NA,NA,NA
722901,NA,M,NA,NA,NA,713511,713832,NA,NA,2600,NA,NA,NA
722922,NA,M,NA,NA,NA,713911,713592,NA,NA,2600,NA,NA,NA
723012,NA,M,NA,NA,NA,713431,713492,NA,NA,2600,NA,NA,NA
733063,NA,M,NA,NA,NA,713881,713912,NA,NA,2600,NA,NA,NA
733064,NA,M,NA,NA,NA,713881,713912,NA,NA,2600,NA,NA,NA
733071,NA,M,NA,NA,NA,713671,713622,NA,NA,2600,NA,NA,NA
733102,NA,M,NA,NA,NA,713861,713782,NA,NA,2600,NA,NA,NA
733161,NA,M,NA,NA,NA,713851,713512,NA,NA,2600,NA,NA,NA
733201,NA,M,NA,NA,NA,714021,713552,NA,NA,2600,NA,NA,NA
733211,NA,M,NA,NA,NA,713591,714052,NA,NA,2600,NA,NA,NA
733222,NA,M,NA,NA,NA,713871,713842,NA,NA,2600,NA,NA,NA
733291,NA,M,NA,NA,NA,720171,713772,NA,NA,2600,NA,NA,NA
733331,NA,M,NA,NA,NA,713941,713572,NA,NA,2600,NA,NA,NA
733381,NA,M,NA,NA,NA,713831,713452,NA,NA,2600,NA,NA,NA
733392,NA,M,NA,NA,NA,713951,713972,NA,NA,2600,NA,NA,NA
733412,NA,M,NA,NA,NA,713531,713462,NA,NA,2600,NA,NA,NA
733461,NA,M,NA,NA,NA,713451,713852,NA,NA,2600,NA,NA,NA
733481,NA,M,NA,NA,NA,713791,713922,NA,NA,2600,NA,NA,NA
733591,NA,M,NA,NA,NA,714001,713662,NA,NA,2600,NA,NA,NA
718203,Black,F,NA,NA,NA,694091,694662,NA,NA,2600,NA,HSM02219 ,HSF02260
718223,Brown hood,F,NA,NA,NA,694121,693242,NA,NA,2600,NA,HSM02237 ,HSF02245
718232,Albino,F,NA,NA,NA,693191,697642,NA,NA,2600,NA,HSM02238 ,HSF02214
718243,Black hood,F,NA,NA,NA,694661,694542,NA,NA,2600,NA,HSM02260 ,HSF02226
718212,Black hood,F,NA,NA,NA,693171,694032,NA,NA,2600,NA,HSM02231 ,HSF02205
718393,Brown,F,NA,NA,NA,701121,700802,NA,NA,2600,NA,HSM02361 ,HSF02352
718343,Brown hood,F,NA,NA,NA,700711,699582,NA,NA,2600,NA,HSM02329 ,HSF02302
718373,Albino,F,NA,NA,NA,699751,701012,NA,NA,2600,NA,HSM02358 ,HSF02327
717943,Black,F,NA,NA,NA,695151,694172,NA,NA,2600,NA,HSM02203 ,HSF02255
718193,Black,F,NA,NA,NA,694041,693192,NA,NA,2600,NA,HSM02209 ,HSF02238
718302,Black,F,NA,NA,NA,699651,700982,NA,NA,2600,NA,HSM02320 ,HSF02313
718653,Brown,F,NA,NA,NA,700701,699742,NA,NA,2600,NA,HSM02328 ,HSF02355
718323,Black hood,F,NA,NA,NA,700721,701072,NA,NA,2600,NA,HSM02326 ,HSF02349
717713,Brown hood,F,NA,NA,NA,696301,694102,NA,NA,2600,NA,HSM02222  ,HSF02221
717953,Brown,F,NA,NA,NA,694491,695162,NA,NA,2600,NA,HSM02207 ,HSF02204
717723,Brown,F,NA,NA,NA,694151,694552,NA,NA,2600,NA,HSM02246 ,HSF02227
718065,Albino,F,NA,NA,NA,700731,699702,NA,NA,2600,NA,HSM02338 ,HSF02337
718125,Brown hood,F,NA,NA,NA,710391,710511,NA,NA,2600,NA,HSM02343B ,HSF02342
717993,Black hood,F,NA,NA,NA,695121,693162,NA,NA,2600,NA,HSM02249 ,HSF02228
718283,Black hood,F,NA,NA,NA,699621,700942,NA,NA,2600,NA,HSM02311 ,HSF02303
718363,Brown hood,F,NA,NA,NA,700821,701052,NA,NA,2600,NA,HSM02357 ,HSF02335
718043,Black,F,NA,NA,NA,703531,699652,NA,NA,2600,NA,HSM02321 ,HSF02320
718383,Brown,F,NA,NA,NA,701131,701092,NA,NA,2600,NA,HSM02362 ,HSF02354
717965,Brown,F,NA,NA,NA,694031,694672,NA,NA,2600,NA,HSM02205 ,HSF02263
718293,Albino,F,NA,NA,NA,700981,699662,NA,NA,2600,NA,HSM02313 ,HSF02325
722582,Black,F,NA,NA,NA,694191,694612,NA,NA,2600,NA,HSM02262  ,HSF02250
722502,Black,F,NA,NA,NA,696311,694632,NA,NA,2600,NA,HSM02218  ,HSF02254
722572,Black,F,NA,NA,NA,696251,695142,NA,NA,2600,NA,HSM02259  ,HSF02216
722652,Black hood,F,NA,NA,NA,701051,701032,NA,NA,2600,NA,HSM02335  ,HSF02333
722662,Brown hood,F,NA,NA,NA,700671,700692,NA,NA,2600,NA,HSM02336  ,HSF02324
722203,Black,F,NA,NA,NA,701071,700652,NA,NA,2600,NA,HSM02349  ,HSF02307
722783,Brown hood,F,NA,NA,NA,708801,709102,NA,NA,2600,NA,HSM02414  ,HSF02444
722134,Brown,F,NA,NA,NA,703521,703532,NA,NA,2600,NA,HSM02318  ,HSF02321
722243,Brown hood,F,NA,NA,NA,708731,709182,NA,NA,2600,NA,HSM02407  ,HSF02452
722433,Albino,F,NA,NA,NA,716871,709052,NA,NA,2600,NA,HSM02425B  ,HSF02439
722612,Brown hood,F,NA,NA,NA,700661,700712,NA,NA,2600,NA,HSM02319  ,HSF02329
722102,Albino,F,NA,NA,NA,709811,710321,NA,NA,2600,NA,HSM02328B  ,HSF02314
722273,Black,F,NA,NA,NA,708901,710772,NA,NA,2600,NA,HSM02424  ,HSF02416
722822,Albino,F,NA,NA,NA,708931,708672,NA,NA,2600,NA,HSM02427  ,HSF02401
722532,Brown,F,NA,NA,NA,694571,694582,NA,NA,2600,NA,HSM02233  ,HSF02234
722763,Brown,F,NA,NA,NA,708711,709262,NA,NA,2600,NA,HSM02405  ,HSF02460
722333,Black hood,F,NA,NA,NA,708991,708932,NA,NA,2600,NA,HSM02433  ,HSF02427
722443,Brown,F,NA,NA,NA,711101,709162,NA,NA,2600,NA,HSM02443B  ,HSF02450
722453,Black hood,F,NA,NA,NA,709233,708912,NA,NA,2600,NA,HSM02457B  ,HSF02425
722403,Brown hood,F,NA,NA,NA,709261,711102,NA,NA,2600,NA,HSM02460  ,HSF02443B
722923,NA,F,NA,NA,NA,713911,713592,NA,NA,2600,NA,NA,NA
723031,NA,F,NA,NA,NA,714011,713682,NA,NA,2600,NA,NA,NA
733062,NA,F,NA,NA,NA,713881,713912,NA,NA,2600,NA,NA,NA
733081,NA,F,NA,NA,NA,713541,713982,NA,NA,2600,NA,NA,NA
733101,NA,F,NA,NA,NA,713861,713782,NA,NA,2600,NA,NA,NA
733111,NA,F,NA,NA,NA,713771,720172,NA,NA,2600,NA,NA,NA
733151,NA,F,NA,NA,NA,713691,713542,NA,NA,2600,NA,NA,NA
733181,NA,F,NA,NA,NA,713481,713522,NA,NA,2600,NA,NA,NA
