ID.F51,CC,Sex,FamNo,DOB,HomeCage,Sire.ID,Dam.ID,Transpondernumber,SW.ID,Generation,EarPunch,Sire.SW.ID,Dam.SW.ID
633232,Brown hood,F,NA,5-Dec,NA,630231,631072,377,HSF0801,800,RT,HSM0701,HSF0702
632432,Albino,F,NA,21-Oct,NA,629203,630242,284,HSF0802,800,RT,HSM0702,HSF0703
632442,Albino,F,NA,23-Oct,NA,630241,630502,289,HSF0803,800,RB,HSM0703,HSF0704
630852,Black,F,NA,25-Oct,NA,630971,630512,299,HSF0804,800,RM,HSM0704,HSF0705
631672,Black hood,F,NA,13-Nov,NA,631301,630222,353,HSF0805,800,RT,HSM0705,HSF0706
632612,Black hood,F,NA,28-Oct,NA,630221,630112,319,HSF0806,800,RB,HSM0706,HSF0707
632022,Albino,F,NA,23-Oct,NA,630111,627092,291,HSF0807,800,RT,HSM0707,HSF0708
635802,Brown,F,NA,13-Apr,NA,630521,630532,428,HSF0809,800,RT,HSM0709,HSF0710
632622,Brown,F,NA,27-Oct,NA,630531,630322,313,HSF0810,800,RB,HSM0710,HSF0711
632452,Brown hood,F,NA,25-Oct,NA,630321,630262,301,HSF0811,800,RB,HSM0711,HSF0712
632982,Brown hood,F,NA,23-Nov,NA,630261,630252,367,HSF0812,800,RT,HSM0712,HSF0713
633502,Brown hood,F,NA,17-Dec,NA,630261,630252,379,HSF0812B,800,RM,HSM0712,HSF0713
632992,Brown hood,F,NA,21-Nov,NA,630251,630132,365,HSF0813,800,LB,HSM0713,HSF0714
632462,Albino,F,NA,23-Oct,NA,630131,630142,293,HSF0814,800,RM,HSM0714,HSF0715
631992,Black hood,F,NA,27-Oct,NA,630141,631462,315,HSF0815,800,RT,HSM0715,HSF0716
633002,Black hood,F,NA,11-Nov,NA,627391,627402,351,HSF0816,800,RB,HSM0716,HSF0717
632472,Black hood,F,NA,23-Oct,NA,627401,627412,295,HSF0817,800,RB,HSM0717,HSF0718
631592,Brown,F,NA,27-Oct,NA,631101,630542,317,HSF0818,800,RM,HSM0718,HSF0719
632632,Black hood,F,NA,1-Nov,NA,630541,631232,328,HSF0819,800,RT,HSM0719,HSF0720
633132,Brown hood,F,NA,24-Nov,NA,629123,630552,370,HSF0820,800,RM,HSM0720,HSF0721
632772,Brown,F,NA,6-Nov,NA,630551,631472,344,HSF0821,800,RB,HSM0721,HSF0722B
632782,Black,F,NA,4-Nov,NA,630561,630572,336,HSF0822,800,RM,HSM0722,HSF0723
632012,Albino,F,NA,17-Nov,NA,631471,630612,359,HSF0822B,800,RB,HSM0722B,HSF0745
632482,Albino,F,NA,25-Oct,NA,630571,630332,303,HSF0823,800,RT,HSM0723,HSF0724
633042,Brown hood,F,NA,10-Nov,NA,630331,630272,346,HSF0824,800,RM,HSM0724,HSF0725
632492,Brown,F,NA,25-Oct,NA,630271,631122,305,HSF0825,800,RM,HSM0725,HSF0726
633052,Black hood,F,NA,18-Nov,NA,631121,631131,361,HSF0826,800,RT,HSM0726,HSF0727
632652,Brown,F,NA,29-Oct,NA,630181,631252,323,HSF0827,800,RM,HSM0727,HSF0728
632662,Black hood,F,NA,30-Oct,NA,629643,630192,325,HSF0828,800,RB,HSM0728,HSF0729
630892,Black hood,F,NA,26-Oct,NA,630191,630732,309,HSF0829,800,RT,HSM0729,HSF0730
631622,Brown,F,NA,12-Nov,NA,630731,631142,363,HSF0830,800,RM,HSM0730,HSF0731
631632,Black hood,F,NA,28-Oct,NA,631141,630582,321,HSF0831,800,RT,HSM0731,HSF0732
632792,Black,F,NA,5-Nov,NA,627551,627562,338,HSF0832,800,RB,HSM0732,HSF0733
635752,Black,F,NA,6-Apr,NA,627551,627562,419,HSF0832B,800,RM,HSM0732,HSF0733
632672,Brown,F,NA,2-Nov,NA,627561,627572,332,HSF0833,800,RB,HSM0733,HSF0734
633852,Albino,F,NA,29-Jan,NA,630751,632862,385,HSF0835,800,RT,HSM0735,HSF0715B
