Batch,Study,Parent_Pair,Cohort,Dam_ID,Sire_ID,Animal_ID,Access_ID,Sex,Diet,DOB,Date_of_Wean,Diet_Start,Diet_Start_Week,Litter_Number,Litter_Size,Coat_Color,Ear_Punch,Rack,Total_AUC,FastGluc,FastIns,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,ClosedJunc,OpenJunc,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,SWIM,CLIMB,FLOAT
Thesis,Thesis,338,1T,726192,726211,AWD193,734525,F,HFD,43360,43380,43406,SIX,9,8,BLACK HOOD,LT,C-F3,13642.5,78,,239,0.836820084,0.920502092,0.50209205,150.7,112.19,5,6,36,53,5,2
Thesis,Thesis,343,1T,726212,725383,AWD201,734575,F,HFD,43360,43381,43406,SIX,7,9,ALBINO,LT,C-F3,13545,88,,228,1.754385965,1.754385965,0.789473684,162.99,136.15,6,7,25,39,0,21
Thesis,Thesis,343,1T,726212,725383,AWD202,734576,F,HFD,43360,43381,43406,SIX,7,9,ALBINO,RM,C-G3,9547.5,75,,276,3.47826087,2.246376812,1.52173913,191.91,103.03,8,9,26,23,3,34
Thesis,Thesis,448,1T,722921,733112,AWD216,734634,F,HFD,43339,43384,43406,SIX,2,12,BROWN HOOD,LT,C-G3,13905,76,,302,3.443708609,1.78807947,1.523178808,254.42,44.93,13,14,26,33,1,26
Thesis,Thesis,338,1T,726192,726211,AWD194,734526,F,HFD,43360,43380,43406,SIX,9,8,BROWN HOOD,LB,C-H3,12720,80,,220,0.909090909,0.818181818,0.454545455,178.55,121.19,13,14,33,51,8,1
Thesis,Thesis,405,1T,728711,729521,AWD209,734585,F,HFD,43360,43381,43406,SIX,3,13,BLACK HOOD,LM,C-H3,12832.5,73,,201,1.194029851,1.194029851,0.597014925,121.33,176.25,6,7,35,40,8,12
Thesis,Thesis,408,2T,727772,728081,AWD225,734673,F,HFD,43366,43388,43413,SIX,4,13,BLACK HOOD,LTRM,C-G7,12645,72,,247,1.295546559,0.728744939,0.48582996,144.65,152.35,9,10,25,42,5,13
Thesis,Thesis,335,2T,726252,726561,AWD237,734762,F,HFD,43368,43389,43413,SIX,8,7,BROWN HOOD,RB,C-G7,12000,86,,274,1.605839416,1.313868613,0.583941606,154.94,137.44,11,12,21,51,0,9
Thesis,Thesis,447,2T,733121,733091,AWD233,734733,F,HFD,43367,43388,43413,SIX,2,15,BLACK HOOD,LTRC,C-H7,11797.5,67,,186,0.967741935,0.860215054,0.430107527,217.65,79.26,6,7,28,47,3,10
Thesis,Thesis,401,2T,728661,727723,AWD241,734783,F,HFD,43368,43389,43413,SIX,4,11,BLACK,RT,C-H7,10725,74,0.219,216,0.925925926,0.833333333,0.462962963,221.42,73.8,13,14,20,32,11,17
Thesis,Thesis,431,3T,727992,729031,AWD198,736259,F,HFD,43416,43437,43462,SIX,5,13,BLACK,LT,C-C3,11482.5,73,,231,2.813852814,2.770562771,1.385281385,247.55,48.4,6,7,25,35,1,24
Thesis,Thesis,465,3T,733113,733065,AWD203,7362310,F,HFD,43416,43437,43462,SIX,4,10,BLK HOOD,RM,C-C3,17107.5,70,,243,1.934156379,2.427983539,1.234567901,219.25,80.25,13,14,29,44,0,16
Thesis,Thesis,421,3T,727952,728061,AWD206,736297,F,HFD,43417,43438,43462,SIX,5,8,ALBINO,LT,C-D3,10882.5,69,,242,0.785123967,1.363636364,0.454545455,207.6,92.05,9,10,31,53,2,5
Thesis,Thesis,443,3T,727934,727791,AWD217,736339,F,HFD,43419,43440,43462,SIX,4,11,BROWN ,RM,C-D3,12187.5,77,,207,0.724637681,1.400966184,0.434782609,255.15,40.72,7,8,23,44,2,12
Thesis,Thesis,442,3T,729362,728031,AWD200,736289,F,HFD,43416,43437,43462,SIX,6,10,BRN HOOD,LT,C-E3,10980,68,,222,0.405405405,0.765765766,0.27027027,207.12,83.49,4,5,29,57,2,1
Thesis,Thesis,416,3T,727942,727901,AWD210,736319,F,HFD,43418,43439,43462,SIX,5,11,BLACK,RM,C-E3,9967.5,59,0.04,213,1.690140845,3.051643192,0.892018779,288.85,9.97,7,8,33,51,0,9
Thesis,Thesis,463,4T,733582,733542,AWD221,736393,F,HFD,43422,43442,43469,SIX,3,11,ALBINO,LM,C-C7,12187.5,78,0.8235,267,2.771535581,3.782771536,1.348314607,148.83,145.99,35,36,34,28,5,27
Thesis,Thesis,402,4T,728072,729351,AWD229,736423,F,HFD,43423,43445,43469,SIX,5,5,BROWN,RB,C-C7,12607.5,78,0.5365,232,2.413793103,4.396551724,1.594827586,178.13,120.84,29,30,39,38,0,22
Thesis,Thesis,438,4T,727912,727801,AWD233,736543,F,HFD,43423,43445,43469,SIX,6,11,BLK HOOD,LT,C-D7,14347.5,80,,245,1.346938776,2.448979592,1.183673469,237.31,62.61,19,20,38,27,6,27
Thesis,Thesis,419,4T,727872,727763,AWD241,736533,F,HFD,43425,43446,43469,SIX,5,11,BLACK,RB,C-D7,12345,79,,244,1.147540984,1.803278689,0.901639344,161.71,135.34,42,42,35,50,3,7
Thesis,Thesis,450,4T,733271,733251,AWD225,737073,F,HFD,43421,43442,43469,SIX,4,9,BLK HOOD ,LT,C-E7,15165,85,0.383,249,1.606425703,2.730923695,1.004016064,244.43,52.44,37,37,26,42,4,9
