Study,Parent Pair,Cohort,Access ID,Sex,Diet,Diet Start Week,Litter Size,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,Total AUC,FastGluc,FastIns,REST EPISODE COUNT_5,MOVEMENT EPISODE COUNT_5,VERTICAL EPISODE COUNT_5,SWIM,CLIMB,FLOAT
Thesis,338,1T,734525,F,HFD,SIX,8,239,0.836820084,0.920502092,0.50209205,13642.5,78,,5,6,36,53,5,2
Thesis,343,1T,734575,F,HFD,SIX,9,228,1.754385965,1.754385965,0.789473684,13545,88,,6,7,25,39,0,21
Thesis,343,1T,734576,F,HFD,SIX,9,276,3.47826087,2.246376812,1.52173913,9547.5,75,,8,9,26,23,3,34
Thesis,448,1T,734634,F,HFD,SIX,12,302,3.443708609,1.78807947,1.523178808,13905,76,,13,14,26,33,1,26
Thesis,338,1T,734526,F,HFD,SIX,8,220,0.909090909,0.818181818,0.454545455,12720,80,,13,14,33,51,8,1
Thesis,405,1T,734585,F,HFD,SIX,13,201,1.194029851,1.194029851,0.597014925,12832.5,73,,6,7,35,40,8,12
Thesis,408,2T,734673,F,HFD,SIX,13,247,1.295546559,0.728744939,0.48582996,12645,72,,9,10,25,42,5,13
Thesis,335,2T,734762,F,HFD,SIX,7,274,1.605839416,1.313868613,0.583941606,12000,86,,11,12,21,51,0,9
Thesis,447,2T,734733,F,HFD,SIX,15,186,0.967741935,0.860215054,0.430107527,11797.5,67,,6,7,28,47,3,10
Thesis,401,2T,734783,F,HFD,SIX,11,216,0.925925926,0.833333333,0.462962963,10725,74,0.219,13,14,20,32,11,17
Thesis,431,3T,736259,F,HFD,SIX,13,231,2.813852814,2.770562771,1.385281385,11482.5,73,,6,7,25,35,1,24
Thesis,465,3T,7362310,F,HFD,SIX,10,243,1.934156379,2.427983539,1.234567901,17107.5,70,,13,14,29,44,0,16
Thesis,421,3T,736297,F,HFD,SIX,8,242,0.785123967,1.363636364,0.454545455,10882.5,69,,9,10,31,53,2,5
Thesis,443,3T,736339,F,HFD,SIX,11,207,0.724637681,1.400966184,0.434782609,12187.5,77,,7,8,23,44,2,12
Thesis,442,3T,736289,F,HFD,SIX,10,222,0.405405405,0.765765766,0.27027027,10980,68,,4,5,29,57,2,1
Thesis,416,3T,736319,F,HFD,SIX,11,213,1.690140845,3.051643192,0.892018779,9967.5,59,0.04,7,8,33,51,0,9
Thesis,463,4T,736393,F,HFD,SIX,11,267,2.771535581,3.782771536,1.348314607,12187.5,78,0.8235,35,36,34,28,5,27
Thesis,402,4T,736423,F,HFD,SIX,5,232,2.413793103,4.396551724,1.594827586,12607.5,78,0.5365,29,30,39,38,0,22
Thesis,438,4T,736543,F,HFD,SIX,11,245,1.346938776,2.448979592,1.183673469,14347.5,80,,19,20,38,27,6,27
Thesis,419,4T,736533,F,HFD,SIX,11,244,1.147540984,1.803278689,0.901639344,12345,79,,42,42,35,50,3,7
Thesis,450,4T,737073,F,HFD,SIX,9,249,1.606425703,2.730923695,1.004016064,15165,85,0.383,37,37,26,42,4,9
Thesis,454,4T,736443,F,HFD,SIX,14,268,1.97761194,3.358208955,1.343283582,14932.5,81,,36,37,45,37,3,19
Thesis,555,5T,738373,F,HFD,SIX,12,243,1.604938272,2.551440329,3.04526749,14475,83,,9,10,25,36,0,24
Thesis,433,5T,738333,F,HFD,SIX,9,254,1.535433071,2.362204724,1.062992126,15435,68,,8,9,27,49,10,1
Thesis,449,5T,738493,F,HFD,SIX,10,211,1.895734597,3.696682464,1.232227488,11865,60,0.473,7,8,28,42,0,18
Thesis,428,5T,738573,F,HFD,SIX,8,242,3.760330579,3.016528926,0.991735537,10650,66,0.574,4,5,27,50,3,7
Thesis,441,5T,738293,F,HFD,SIX,11,270,1.851851852,2.703703704,1.555555556,14692.5,74,,8,9,29,42,4,11
Thesis,461,5T,738503,F,HFD,SIX,11,267,1.797752809,2.996254682,1.423220974,14025,73,,2,3,23,45,1,14
