Study,Parent Pair,Cohort,Access ID,Sex,Diet,Diet Start Week,Litter Size,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,FastIns,FastGluc,Total AUC,SWIM,CLIMB,FLOAT,REST EPISODE COUNT_5,MOVEMENT EPISODE COUNT_5,VERTICAL EPISODE COUNT_5
Ozzy,56,2O,713895,M,LFD,SIX,8,320,2.309375,2.040625,,1.3135,78,14025,,,,,,
Ozzy,25,2O,719283,M,HFD,SIX,11,362,3.566298343,2.342541436,,3.9525,,14812.5,,,,,,
Ozzy,39,2O,719382,M,HFD,SIX,12,576,4.206597222,3.133680556,,4.012,98,17872.5,,,,,,
Ozzy,41,2O,719442,M,LFD,SIX,6,402,2.711442786,1.019900498,,1.1975,110,13770,,,,,,
Ozzy,31,2O,719513,M,HFD,SIX,4,404,3.611386139,2.737623762,,1.575,103,14355,,,,,,
Ozzy,54,2O,719543,M,HFD,SIX,10,443,4.541760722,2.46275395,,3.3195,102,18840,,,,,,
Ozzy,40,3O,719673,M,LFD,SIX,10,387,4.552971576,2.552971576,1.620155039,2.8785,99,15690,24,13,23,,,
Ozzy,42,3O,719693,M,HFD,SIX,11,389,2.426735219,1.311053985,1.205655527,1.8155,158,19762.5,14,46,0,,,
Ozzy,50,3O,719713,M,HFD,SIX,7,364,2.049450549,2.167582418,1.384615385,2.1185,129,16995,21,5,34,,,
Ozzy,36,3O,719813,M,LFD,SIX,8,411,3.708029197,2.542579075,1.622871046,2.6235,129,16245,13,9,38,,,
Ozzy,43,4O,719933,M,LFD,SIX,12,335,2.689552239,2.23880597,1.388059701,,,14520,44,13,3,,,
Ozzy,33,3O,719963,M,HFD,SIX,6,403,2.401985112,1.657568238,0.933002481,4.0445,100,14902.5,47,10,3,,,
Ozzy,23,3O,720073,M,HFD,SIX,7,545,5.110091743,2.99266055,1.647706422,6.3995,137,18412.5,25,22,13,,,
Ozzy,52,4O,720153,M,HFD,SIX,9,444,3.905405405,3.168918919,1.545045045,,,18060,43,1,16,,,
Ozzy,53,4O,720163,M,HFD,SIX,8,397,2.992443325,2.528967254,1.04534005,,,18112.5,38,18,4,,,
Ozzy,51,4O,720175,M,HFD,SIX,12,435,3.983908046,2.510344828,1.657471264,,,18007.5,40,7,12,,,
Ozzy,47,4O,720303,M,LFD,SIX,12,403,2.632754342,1.868486352,0.945409429,,,14745,38,15,7,,,
Ozzy,49,4O,720313,M,HFD,SIX,9,488,5.758196721,2.522540984,2.409836066,,,16672.5,5,13,42,,,
Ozzy,27,5O,720771,M,LFD,SIX,4,398,2.505025126,2.608040201,1.253768844,0.711,106,13515,36,5,19,,,
Ozzy,26,5O,720821,M,HFD,SIX,5,399,3.117794486,2.165413534,1.338345865,3.765,112,16320,24,5,31,,,
Ozzy,30,5O,720891,M,LFD,SIX,11,312,2.211538462,2.641025641,1.144230769,1.6865,106,13912.5,30,6,24,,,
Ozzy,37,5O,720971,M,HFD,SIX,7,404,3.074257426,2.262376238,1.517326733,5.1255,123,16575,10,33,17,,,
Ozzy,55,5O,721031,M,HFD,SIX,7,346,3.716763006,2.858381503,1.24566474,0.755,115,16515,30,15,15,,,
Ozzy,44,5O,721081,M,HFD,SIX,5,420,3.685714286,2.866666667,1.288095238,1.057,107,14910,36,15,9,,,
Ozzy,34,6O,721231,M,LFD,SIX,7,327,3.694189602,2.464831804,1.629969419,1.168,107,13612.5,6,8,46,,,
Ozzy,38,6O,721263,M,HFD,SIX,9,439,3.043280182,1.767653759,0.997722096,0.5985,117,15067.5,43,4,13,,,
Ozzy,57,6O,721293,M,LFD,SIX,11,446,3.334080717,3.289237668,1.560538117,1.2485,124,17910,32,4,24,,,
Ozzy,48,6O,721303,M,HFD,SIX,6,392,4.091836735,2.525510204,1.844387755,0.8335,109,22987.5,41,11,8,,,
Ozzy,24,6O,721431,M,HFD,SIX,9,371,3.652291105,2.754716981,1.541778976,1.7185,124,16012.5,28,2,30,,,
Ozzy,22,6O,721451,M,HFD,SIX,8,359,2.955431755,1.688022284,0.883008357,,,,38,14,8,,,
Ozzy,46,7O,721573,M,LFD,SIX,11,400,2.125,1.8625,0.9475,1.3745,93,19575,43,17,0,,,
Ozzy,28,7O,721811,M,HFD,SIX,7,403,4.553349876,4.712158809,2.131513648,2.9595,97,17745,21,6,33,,,
